user_id,prediction1,prediction2,prediction3,prediction4,prediction5
39835,66,324,1183,1581,4410
157425,62,66,139,167,187
107135,59,62,63,66,84
222564,66,191,192,210,414
280271,59,66,301,327,414
482376,63,66,139,187,191
174096,59,63,66,84,94
428885,59,62,63,66,84
5060,66,84,91,139,186
593927,62,66,84,93,114
8688,59,63,66,84,91
1179225,66,185,192,238,271
486725,25094,39087,25610,77891,62878
197023,59,62,63,66,84
173579,59,63,66,94,135
104295,167,191,261,342,517
47892,94,150,203,210,310
67656,84,139,187,261,310
53932,66,92,139,185,192
542159,59,66,210,261,271
679953,62,63,66,92,93
204024,59,63,66,91,92
422893,4065,10840,12436,27520,32614
400708,59,66,114,139,191
158086,59,63,66,92,93
136997,66,271,324,414,558
169969,59,62,63,66,84
17803,139,186,215,243,301
209747,59,66,142,187,192
101823,749,1035,4004,4047,4065
160974,62,63,66,92,94
560491,59,210,414,436,601
145352,66,84,91,114,139
452940,84,246,730,2111,2474
324390,59,63,66,84,91
9869,59,62,63,66,84
29196,2267,2496,2940,4410,4460
